source_mizo,reference_english,baseline_prediction
Kum thum tan in ah a awm tih John-a hrilh lo tur a ni a sin tih Dina'n a sawi.,Dina said Mary shouldn't have told John that she'd spent three years in prison.,Dina said he shouldn't tell John he's been home for three years.
Vawiin hian Tom lo leng se ka ti.,I hope Tom comes over to my place today.,I wish Tom would come over today.
Ka fanu hming chu Ziri a ni.,My daughter's name is Ziri.,My daughter's name is Ziri.
"""Bengvarna thudawn danin, Mizoram Sawrkar chuan Hnahlan VC leh Thekpui VC, MNF kaihhruai ve vete chu chhan eng emaw vangin a á¹­hiat a ni.""","""According to Bengvarna sources, the Mizoram Government dissolved Hnahlan VC and Thekpui VC, both led by MNF, for some reason.""","""According to Bengvarna sources, the Mizoram Government destroyed the Hnahlan VC and Thekpui VC, both led by MNF, for some reason."""
A hleuh loh tur thu Chhana-an a sawi.,Chhana says he won't swim.,Chhana said he wouldn't swim.
Kunga-an tih dan tur a hrilh ang che.,Kunga will show you how to do it.,Kunga will tell you how to do that.
"""ZPM chu thereng nen tehkhinin Lalruatkima hian, Thawm ring deuh an chhuah.""","""Comparing ZPM to cicadas, Lalruatkima said, They make a loud noise.""","""Compared to the noise, ZPM said Lalruatkima, They released a loud noise."""
Tunah hian langsar taka lak luh chu Matheus Cunha chiah an la nei.,"""Currently, the only prominent signing they have made is Matheus Cunha.""","""Currently, only Matheus Cunha still has a prominent entry."""
Zira chu huaisen tak a ni.,Zira is a daredevil.,Zira is very brave.
Kristian Tlangau hian October thla atang khan a chhiartute hriatna tizau tur lam hi a telh ve chamchi a.,"""Since October, Kristian Tlangau has been regularly including content to broaden its readers' knowledge.""",Kristian Tlangau has been present continuously since October to broaden the knowledge of his readers.
Fela a hun takah a thlen ka ring lo.,I don't think Fela will be punctual.,I don't think Fela will be punctual.
Dinga chu a tap mai mai a ni.,Dinga is just crying.,Dinga was just crying.
Siampuia chuan a pui thei tawh lo che.,Siampuia can't help you anymore.,Siampuia can't help you anymore.
"""Niminah tui an hleuh tih an sawi, Nunpuia leh Rami te chuan.""",Nunpuia and Rami said they went swimming yesterday.,Nunpuia and Rami said they were swimming yesterday.
ZPM hian vote tla zawng zawng atanga zaa 49.27 an hmu phak.,ZPM managed to get 49.27% of the total votes polled.,ZPM managed to get 49.27 percent of all votes cast.
Engtin nge Tluanga nen in thawhho?,How did you team up with Tluanga?,How did you and Tluanga work together?
Mallorca laka Atletico Madrid chakna goal hi Antoine Griezmann thun a ni.,Atletico Madrid's winning goal against Mallorca was scored by Antoine Griezmann.,The goal of Atletico Madrid's victory against Mallorca was scored by Antoine Griezmann.
Ayoze Perez chuan minute 44-naah a belhchhah ve leh bawk.,Ayoze Perez added another one in the 44th minute.,Ayoze Perez added another one in the 44th minute.
Zama chuan Mawii hnenah tiamna a siam.,Zama promised Mawii he'd do it.,Zama made a promise to Mawii.
Ruata kha pawisa lo puk tir vak lo ila tha tur.,I wish I hadn't lent so much money to Ruata.,I wish I hadn't lent Ruata so much money.
Fadil chuan kum khat liam ta a a pa inawkhlum chu a la tuar.,Fadil was still trying to cope with his father's suicide a year earlier.,Fadil was still suffering from his father's abduction a year ago.
Kapa thil hmuh chuan a ti zam hle.,What Kapa saw made him nervous.,What Kapa saw made him nervous.
Nicholas hian darkar khata km 110-a chak thlipui a keng tel niin khawchin zirtute chuan an sawi a.,Weather experts said that Nicholas brings with it winds with a speed of 110 km per hour.,Experts say that Nicholas carries a speed of 110 km per hour.
Danso hi inlan nghal thei tura beisei a ni.,Danso is expected to be available immediately.,Danso is expected to be able to appear immediately.
Hrem vangin Thomas Partey a inlan thei lo.,Thomas Partey cannot appear because of a suspension.,Thomas Partey could not appear due to suspension.
"""CM chuan, Thuthlukna tawp chu central sawrkar siam tur a ni.""","""The CM said, """"The final decision is to be made by the central government.""""""","""The CM said, The final decision is to form the central government."""
Poland chuan an rama lutte awmzui phalna pek á¹­hin chu tihtawp rih a tum bawk.,Poland also intends to temporarily stop granting residence permits to those entering their country.,Poland also intends to temporarily stop granting permission to follow up on those entering their country.
"""Savun Hampuar tlangzarhtu Tetea Hmar chuan, Football-a kan hmasawnnain hnamdangte ngaihtuah leh ngaihven a hlawh tan.""","""Tetea Hmar, who launched Savun Hampuar, said that our progress in football has started to attract the attention and interest of other communities.""","""Savun Hampuar launcher Tetea Hmar said, """"Our progress in football has started to attract attention and interest from other communities."""""""
Department chuan zirlai inziaklut zinga 20% aia tlem zirlai kalna sikul pawh tam tak a awm tih a sawi.,The Department stated that there are many schools where less than 20% of enrolled students attend.,The Department said that there are also many schools where students enrolled are less than 20%.
Mawii thusawi hriat tumin ka thi dawn a ni.,I'm dying to find out what Mawii said.,I'm dying to hear what Mawii says.
Chhani chuan chutiang chu a ti dawn lo mai thei tih a sawi a.,Chhani said she probably won't do that.,Chhani said she probably wouldn't do that.
Muana chuan meizuk ban a tum.,Muana has made up his mind to quit smoking.,Muana tried to quit smoking.
"""Chawhnu dar 2:00-ah inkhel hnuhnungber a awm anga, Leitan leh Lengpui an inhmachhawn ang.""","""The last match will be at 2:00 PM, and Leitan and Lengpui will face each other.""","""There will be the last match at 2:00 PM, and Leitan and Lengpui will face each other."""
Tluanga ke chu a vun a.,Tluanga's legs are swollen.,Tluanga's feet were swollen.
"""Dr. K. Pachhunga, MLA chu khual zahawm a ni ve thung.""","""Dr. K. Pachhunga, MLA, was the guest of honor on the other hand.""","""Dr. K. Pachhunga, MLA, was also a guest of honour."""
Sanga chu beidawng ka duh lo.,I did not want to discourage Sanga.,I didn't want to disappoint Sanga.
Sangi chu tih a duh em tih ka lo zawt ang.,I'll ask Sangi if she wants to do that.,I'll ask Sangi if she wants to do that.
Saula hian Davida hi naupangte a nih laiin a mil tawh lo.,Saul did not like David even when he was a child.,Saul was no longer fond of David when he was a child.
Pedri lakah save tha vawi thum a siam.,He made three good saves from Pedri.,He made three good saves against Pedri.
"""Vawiin meeting-ah Tom a tel a, Mary erawh a tel lo.""","""Tom was present at today's meeting, but Mary wasn't.""","""Tom attended today's meeting, but Mary didn't."""
"""Chanmari tlangval Chd-a chuan, """"Kawng engkimah kan tha zawk ang,"""" tiin chak ngei an tum thu a sawi.""","""Chanmari's Chd-a said, """"We will be better in every way,"""" expressing their determination to win.""","""Chanmari youth Chd said they intend to win, """"We will be better in every way."""""""
Biaka chuan Zami a lawm maithei tih a sawi.,Biaka said Zami was likely to be pleased.,Biaka said Zami was likely to be pleased.
Germany hian IT professional lamah indaih lohna a nei ngah hle.,Germany has a significant shortage of IT professionals.,Germany has a lot of shortage in IT professionals.
Greifswald chu Western Pomerania-ah a awm.,Greifswald is in Western Pomerania.,Greifswald is in Western Pomerian.
Biaka chuan danglamna engmah a hriat loh thu a sawi.,Biaka said that he hasn't noticed any difference.,Biaka said that he didn't notice any difference.
Vana leh Pari chuan i hnÃªnah an inbiak duh tih an hril.,Vana and Pari say they want to talk to you.,Vana and Pari told you they wanted to talk to you.
Eng vangin nge German á¹­awng i zir?,Why did you learn German.,Why did you learn German?
"""Sorkar laipuiin Mizoram sawrkar ruahmannate a tihhlawhtlin sak a tul, a ti.""",He said that the central government needs to implement the plans of the Mizoram government.,He said that the central government needs to implement the Mizoram government's plans.
"""TNT-ah hian mi 1,300 vel an awm mek a ni.""","""There are currently about 1,300 people in TNT.""","""There are currently about 1,300 people in TNT."""
Zuala chuan a hausa zia a sawi a sawi thin.,Zuala always brags about how rich he is.,Zuala used to talk about how rich he was.
Ka thawk tawp thlengin Rajasthan mipuite tan ka bei dawn a.,I will fight for the people of Rajasthan until my last breath.,I will fight for the people of Rajasthan until the end of my work.
Dinga-an chess a thiam vak lo tih a sawi.,Dinga said that he wasn't a good chess player.,Dinga said that he wasn't very good at chess.
Thanga ten thu an sawi bawk a ni.,Thanga and others also gave speeches.,Thanga was also being sarcastic.
"""A nu nen Hebrew an hmang a, a pa nen Polish an hmang.""",She speaks Hebrew with her mother and Polish with her father.,He used Hebrew with his mother and Polish with his father.
Vana leh Pari'n tih dun an duh list an siam.,Vana and Pari made a list of things they wanted to do together.,Vana and Pari made a list of things they wanted to do together.
Zoram Thar chu NGO-in sawrkar-ah an inziaklut tawh tih a sawi bawk.,He also said that Zoram Thar has been registered as an NGO with the government.,He also said that the NGO has already signed Zoram Thar into the government.
Hminga chuan Mawii-in khatiang kha a hlau a ring.,Hminga said he thought Mawii would be frightened by that.,Hminga thought Mawii would be afraid of that.
Beisei ang erawh a ni lo-beisei loh aá¹­angin Emmanuel Boateng a inlar.,"""However, it was not as expected - Emmanuel Boateng appeared unexpectedly.""","""However, Emmanuel Boateng appeared unexpectedly not as expected."""
"""Sanga chu a khumah a thu tung a, a laptop a khawih.""","""Sanga was sitting cross-legged on his bed, typing on his laptop.""",Sanga sat on his bed and touched his laptop.
Lali chuan Thara-an a tih theih a beisei thu a sawi.,Lali says she hopes Thara will be able to do that.,Lali said she hoped Thara would be able to do that.
French zirtirtu chu tu nge a nih Malsawma'n a sawi?,Who did Malsawma say taught him French?,Who did Malsawma say was the French teacher?
Christianity zirtirtu te chuan khandaih an hman theih veleh an hmang nghal.,No sooner were the professors of Christianity sufficiently powerful to employ the sword than they did so.,Christianity teachers use sword as soon as they can.
CHUNGCHANG â€“ ZIRLAITE TAN â€“ Saidingpuii Sailo Delhi Zirna sang zawk zir turin Mizoram pawn lama kal chhuah kan lo intihhmuh tial tial a.,REGARDING â€“ FOR STUDENTS â€“ Saidingpuii Sailo Delhi We are increasingly encouraging each other to go outside Mizoram for higher studies.,We increasingly see ourselves going outside Mizoram to study higher education â€“ Saidingpuii Sailo Delhi â€“ for students.
Dinga-an a thil mamawh zawng zawng chu dollar 300 in a lei thei dawn lo tih a sawi.,Dinga said that he wouldn't be able to buy everything he needed for $300.,Dinga said that he wouldn't be able to buy everything he needed for $300.
"""In an thlen velah an ti ang, Dina leh Ziri te chuan.""",Dina and Ziri will do that as soon as they get home.,Dina and Ziri are going to do that as soon as they get home.
"""Puii be lo turin Liana chuan min hrilh a, mahse ka be tho ang.""","""Liana told me not to talk to Puii, but I'll let her anyway.""","""Liana told me not to talk to Puii, but I'll talk to her anyway."""
Fela a kal leh thei tawh lo maithei.,Fela may never be able to walk again.,Fela may not be able to walk again.
"""Mahse, Spartak khelmualah Reds fan-ten an duh ang an hmu lo.""","""But, Reds fans did not see what they wanted at the Spartak stadium.""","""But, the Reds fans didn't get what they wanted at the Spartak stadium."""
"""Kum atang erawh chuan Tirhkoh Bial neih hi tihtawp a ni a, Pastor-te chauhvin Bial bik an nei zui a ni.""","""From the year [year], however, having a Tirhkoh (Pro-Pastor) Bial was discontinued, and only Pastors had specific Bials subsequently.""","""From the year [year], however, the establishment of the Tirhkoh Bial was discontinued, and only Pastors subsequently had a specific Bial."""
Tunah erawh United tan Maguire a á¹­angkai á¹­hin hle.,"""However, Maguire is now very useful for United.""","""Now, however, Maguire is very useful for United."""
Dama-an kawfi min siam sak.,Dama made us some coffee.,Dama made coffee for me.
Rina leh Siami te kum thum an nih atangin piano an tum tawh.,Rina and Siami have been playing the piano since they were three years old.,Rina and Siami have been playing the piano since they were three.
Ka patea'n university-ah English a zirtir.,My uncle teaches English at the university.,My uncle teaches English at university.
An mikhual Las Palmas chu si hnih faiin an hneh.,They defeated their visitors Las Palmas by two clear goals.,They defeated their visitors Las Palmas 2-0.
David chu gay bar-ah a kal.,David went to a gay bar.,David went to the gay bar.
David-a'n Jenifer-i reh hlum nan hrui a hmang.,David used a cord to strangle Jenifer.,David used a rope to put Jenifer to death.
Sangi chuan amah a tih a duh lo.,Sangi doesn't want to do that on her own.,Sangi didn't want to do that by herself.
Editorial-ah hian missionary ropui Zosaphluia thiltih thenkhat i han sawi teh ang.,"""In this Editorial, let me talk about some of the deeds of the great missionary Zosaphluia.""","""In the Editorial, let us mention some of the activities of the great missionary Zosaphluia."""
"""Amah thlem nana an thil tawktarh chu itawm viau mah se, Safie chu Lal Isua leh a ringtupuite phatsan turin an hmin thei chuang lo a ni.""","""Although the bait they used to tempt her was very alluring, they still could not persuade Safie to betray Lord Jesus and her fellow believers.""","""Although their efforts to tempt him were very useful, they could not persuade Safie to betray Lord Jesus and His fellow believers."""
"""September 9, Thawhtanni khan Modric hian kum 39 a tling chiah.""","""Modric turned exactly 39 on Monday, September 9.""","""Modric turned exactly 39 on Monday, September 9."""
Shanghai atanga Zhengzhou rel in engtia rei nge a duh ang?,How long would a train from Shanghai to Zhengzhou take?,How long will the Zhengzhou train from Shanghai want?
Lawmi chu a lo puitlin tawh a.,Lawmi is growing up.,Lawmi has grown up.
Harsa takin tih dan a zir tih Malsawma-an a sawi.,Malsawma said he learned how to do that the hard way.,Malsawma said he learned how to do that very hard.
"""Ramhlun Venglai YMA pawhin tangkai takin MLA fund an hmang nia sawiin, lawmawm a tih thu a sawi.""","""Stating that Ramhlun Venglai YMA also used the MLA fund effectively, he expressed his appreciation.""","""Saying that Ramhlun Venglai YMA also utilized the MLA fund effectively, he expressed his happiness."""
Lali chuan tukverh a hawng chu pawi a tih thu a sawi.,Lali said she wished she hadn't left the windows open.,Lali said she wished she hadn't opened the window.
Ziri awmna Thara an a hria em tih ka ngaihtuah.,I wonder if Thara knows where Ziri lives.,I wonder whether or not Thara knows where Ziri lives.
"""Bharat Ratna Sardar Vallabhbhai Patel piancham, October 31 karah hman á¹­hin a ni.""","""It is usually observed during the week of October 31, the birthday of Bharat Ratna Sardar Vallabhbhai Patel.""","""It is usually celebrated on October 31, the birthday of Bharat Ratna Sardar Vallabhbhai Patel."""
Mumbai Indians chiahin playoff khelh beiseina an nei tawh lo.,Only Mumbai Indians have no hope of playing in the playoffs anymore.,Only Mumbai Indians no longer have hope of playing in the playoffs.
"""V Lalthanzuala sawi danin, NLUP hnuaia bawngte chuan natna hri an vei.""","""According to V Lalthanzuala, the cows under NLUP contracted a disease.""","""According to V Lalthanzuala, the cows under NLUP are infected with the disease."""
Zama chuan kal hma a tum sa.,Zama already plans on leaving early.,Zama has already decided to leave early.
Stephen u mipa chu Cairo-ah a cheng.,Stephen's older brother lived in Cairo.,Stephen's older brother lives in Cairo.
"""Van thengreng -a thi hi chu mi 3 chiah an la awm a, chung mite chu Georgi Dobrovolski te, Vladislav Volkov leh Viktor Patsayev te an ni.""","""Only 3 people have ever died in outer space, and those people are Georgi Dobrovolski, Vladislav Volkov, and Viktor Patsayev.""","""Only 3 people still died in space, including Georgi Dobrovolski, Vladislav Volkov, and Viktor Patsayev."""
Fela sam dum tur ka pui.,I helped Fela dye his hair.,I helped Fela dye his hair.
Delhi atangin Aizawl lamah min sawn hnai tih ka hria a;,I know that they transferred me closer to Aizawl from Delhi;,I know that they are moving closer to Aizawl from Delhi;
"""Spanish kalendar ah chuan, kar hi Thawhá¹­anni in a intan.""","""In the Spanish calendar, the week begins with Monday.""","""In the Spanish calendar, the week starts on Monday."""
Chutiang bawkin Mizoramah ruihhlo khawih thin eng zat nge awm tih han zawng ve chin mah teh.,"""Likewise, try to find out how many drug users are there in Mizoram.""","""Similarly, try to find out how much drugs are used in Mizoram."""
"""Zama chuan Mawii kuah a duh, mahse a ti tur a ni lo tih a hria.""","""Zama wanted to hug Mawii, but he knew he shouldn't.""","""Zama wanted to hug Mawii, but he knew he shouldn't."""
Tih nan hun a neih loh thu Nunpuia-an min hrilh lo.,Nunpuia didn't tell me he didn't have time to do that.,Nunpuia didn't tell me he didn't have time to do that.
Hammers an hneh loh hnuah insiamthat dan a hriat leh hriat loh Pathianni zanah a hriat ang.,Whether he knows how to recover after losing to the Hammers or not will be known on Sunday night.,"""After failing to defeat the Hammers, he will know how to improve on Sunday night whether he knows how to do it or not."""
"""Chung thu chu an hriatin an thinlung a na a, an thiltih dik loh inhriain, Petera leh tirhkoh dangte hnenah chuan, Engtin nge kan tih tak ang? an ti a.""","""When they heard that, they were cut to the heart, and realizing their wrongdoings, said to Peter and the rest of the apostles, """"What shall we do?""""""","""And hearing these words, their hearts were pained, knowing that they had done wrong, they asked Peter and the other apostles, """"What shall we do?"""""""
Liani chuan Mawia-an naktukah a tih theih a beisei thu a sawi.,Liani says she hopes Mawia will be able to do that tomorrow.,Liani said she hoped Mawia would be able to do that tomorrow.
Dama-an khatiang a thil mawi lo a tih kha ka la hmu ngai lo.,I'd never seen Dama do anything that impolite before.,I've never seen Dama do something so ugly.
Engtin nge Malsawma-an a tih zawk tur?,What should Malsawma have done?,How should Malsawma do that instead?
Vana leh Pari sakawr eng zat nge an neih?,How many horses do Vana and Pari own?,How many horses do Vana and Pari have?
Alvin chuan finna kawng a hmu.,Alvin found a path to enlightenment.,Alvin found a way to imagine it.
"""An khawngaihthlak khawp mai, Parva III khuaa an YMA hruaitu pakhat chuan a ti.""","""They are very pitiable, said a YMA leader in Parva III village.""","""They are very pitiable, said a YMA leader in Parva III village."""
Slipknot guitarist Mick Thomson chu a unaupa nen an intithinrim deuh.,Slipknot guitarist Mick Thomson got into a bit of a fight with his brother.,Slipknot guitarist Mic Thomson is a bit angry with his brother.
Biaka chuan eirawngbawl tu nih a tum.,Biaka has decided to become a cook.,Biaka is trying to be a cook.
Puia leh Siami ten tui hleuh dan an thiam lo ve ve tih ka hria.,I heard that both Puia and Siami don't know how to swim.,I know both Puia and Siami don't know how to swim.
La Liga match 39 chhung chak loh an nei tawh lo.,They have not had a loss in La Liga for 39 matches.,They haven't lost 39 La Liga matches in a row.
YouTube lamah pawh thlirtu nuai ruk chuang lai an awm tawh.,"""On YouTube as well, there are already over six lakh viewers.""",There are already over six lakh viewers on YouTube as well.
Zuala chu thil chhar turin a kun.,Zuala bent over to pick something up.,Zuala bent down to find something.
Liani chuan Thawhtanni ah Boston-ah a kir leh dawn tih a sawi.,Liani said she'd be going back to Boston on Monday.,Liani said she'd be going back to Boston on Monday.
Puia a hlim lo hle tih ka lo hre lo.,I didn't know how unhappy Puia was.,I didn't know that Puia was unhappy.
Khuma-an hna kha a duh lo.,Khuma didn't want the job.,Khuma doesn't like the job.
Sangi chu motor chÃªtsualnaah a thi tih Liana hrilh tu nih ka duh lo.,I don't want to be the one who tells Liana that Sangi died in an automobile accident.,I don't want to be the one who told Liana that Sangi died in a car accident.
Paris-a thil thleng chu khawvel nghawng tham thil a ni.,The event in Paris is something that shakes the world.,What happened in Paris was something that had an impact on the world.
"""Tun dinhmunah South Lungpherah hian raltlan 100 chuang awm tawhin, rawn thlen belh tur mi 50 bawr an awm mÃªk bawk.""","""Currently, there are over 100 refugees in South Lungpher, and around 50 more are expected to arrive.""","""Currently, there are over 100 refugees in South Lungpher, and there are about 50 more to arrive."""
Kum 1962 atang phei kha chuan MNF party te kan dinho va.,"""Since 1962, we founded the MNF party together.""","""From 1962 onwards, we formed the MNF party."""
Semifinal-a Chanmari an hneh á¹­umin goal awmchhun a rawn khung leh bawk.,He scored the only goal again when they defeated Chanmari in the semifinal.,"""When they defeated Chanmari in the semifinal, he also scored the only goal."""
Lallianzuala Chhangte erawhin beidawn phah nan a hmang lo.,"""Lallianzuala Chhangte, however, did not let it discourage him.""","""Lallianzuala Chhangte, however, did not use it to cause despair."""
India-a luh hi in tan a ha lovang tiin.,You won't want to go back to India.,"""Saying that entering India will not be for your own gain, he said."""
Kum BC hi chu Isua pian nan chuan a hma lutuk si.,The year [year] BC is simply too early for the birth of Jesus.,The BC of that year was too early for Jesus to be born.
Dama-an hna min pe.,Dama offered me a job.,Dama offered me a job.
"""ZPM party chuan, AMVCA hruaitu term hi kum nga a ni.""","""ZPM party said, the term of AMVCA leaders is five years.""","""The ZPM party said, """"The term of AMVCA leaders is five years."""""""
Muana chuan Thari'n a ti tur a ni lo tih a ring.,Muana thinks Thari shouldn't do that.,Muana thinks Thari shouldn't do that.
Tunah hian Germany leh USA atang pawhin order ka dawng a;,"""Currently, I receive orders even from Germany and USA;""","""Currently, I have received orders from Germany and USA;"""
Biaka chuan chu thil chu tu tih nge a nih a hriat thu a sawi.,Biaka said that he knew who did that.,Biaka said that he knew who did that.
AIFF kalphung mumal lo leh mak tak hian sawisel pawh a hlawh hle.,AIFF's disorganized and strange system has also received much criticism.,The irregular and strange AIFF system has also received much criticism.
Bawrhsap Pu Ingty pawh khan lehkhabu hi a lakhawm tam hle bawk.,Deputy Commissioner Pu Ingty also collected a lot of books.,DC Pu Ingty also collected a lot of books.
AS Roma leh Leverkusen an inhmachhawn ve bawk a. Anni bakah hian Bournemouth left-back Milos Kerkez chu AÂ£ maktaduai 40.8-in an lei.,"""AS Roma and Leverkusen also faced each other. Besides them, they bought Bournemouth left-back Milos Kerkez for AÂ£ 40.8 million.""","AS Roma and Leverkusen also faced each other. Besides them, they bought Bournemouth left-back Milos Kerkez for AÂ£ 40.8 million."
Coppa Italia atanga an tlak avangin sawisel an hlawh.,"""Because they were eliminated from the Coppa Italia, they received criticism.""","""Because they fell from Coppa Italia, they were criticized."""
Liverpool midfielder hlui Alonso-an Bundesliga aá¹­anga tla thei dinhmuna ding hman Leverkusen a enkawl.,"""Former Liverpool midfielder Alonso managed Leverkusen, who were once in danger of relegation from the Bundesliga.""",Former Liverpool midfielder Alonso managed Leverkusen who stood in a position to fall from the Bundesliga.
EVM hman dan zir ho nghal a ni.,They immediately learned how to use the EVM together.,It was immediately studied how to use EVM.
Liana chuan Zomuani chu a la hmu reng a.,Liana was still seeing Zomuani.,Liana was still seeing Zomuani.
Bethlehem Veng leh Bethlehem Vengthlangin hnehna changin last 16 an lut bawk.,Bethlehem Veng and Bethlehem Vengthlang also won and entered the last 16.,Bethlehem Veng and Bethlehem Vengthlang won and entered the last 16.
Dinga chu a ui nen lawngah chuan an awm a.,Dinga was in the canoe with his dog.,Dinga was on a boat with his dog.
Liani chuan Liana hnenah tihnat a tum ngai loh thu a hrilh tur a ni.,Liani should tell Liana she'd never do anything to hurt him.,Liani should tell Liana she's never intended to hurt him.
Germany ramah chuan ei tur a man tlawm hle.,Food is cheap in Germany.,"""In Germany, food prices are very low."""
Mark Lee n Thuhriltu thenkhat chu pawisa khelh ching mi thenkhat nen an inang chiah.,Mark Lee said that some Preachers are exactly like some gamblers.,Mark Lee and some other Preachers are exactly the same as some people who play money.
Zami-i chuan Mawia puih a tiam kha a hlen lo.,Zami didn't keep her promise to help Mawia.,Zami didn't live up to her promise to help Mawia.
Tun thal chhung ngeia Tuirial bul thlenga zo turin ruahmanna siam mek a ni bawk.,Plans are also being made to complete it up to Tuirial within this dry season.,Plans are also being made to complete it up to Tuirial within this dry season.
"""Westlife chuan, India hian kan thinlungah hmun pawimawh tak a chang á¹­hin.""","""Westlife said, India has always held a special place in our hearts.""","""Westlife said, India has always played an important role in our hearts."""
Rina leh Thari chu an car hnungah an biru.,Rina and Thari hid behind their car.,Rina and Thari hid behind their cars.
Khuma-an Rini a mut a chhuak a rin thu a sawi.,Khuma said that he thought that Rini would be sleepy.,Khuma said that he thought that Rini would be sleepy.
"""Dr.Zarzoliana, Joint Director, Malaria hnen atangin kalkhawmte lawmna leh fuihna thu ngaihthlak a ni bawk.""","""A welcome and motivational speech was also heard from Dr. Zarzoliana, Joint Director, Malaria.""","""A welcome and encouragement speech was also heard from Dr. Zarzoliana, Joint Director, Malaria."""
"""Traite, Asst. Project Manager NABARD Champhai leh NIAM aá¹­angin mithiamte an kalkhawm a ni.""","""Traite, Asst. Project Manager NABARD Champhai and experts from NIAM gathered.""","""Experts from Traite, Asst. Project Manager NABARD Champhai and NIAM gathered."""
Engvanga Tluanga min biak tir phal lo nge i nih?,Why won't you let me talk to Tluanga?,Why don't you let me talk to Tluanga?
MTP Gen.Hqrs pawhin veng hrang hranga VLTF te hnenah á¹­anpuina tangkafaiin an sem mÃªk bawk a ni.,MTP Gen. Hqrs is also currently distributing cash assistance to VLTFs in various localities.,MTP Gen. Hqrs is also currently distributing cash assistance to VLTFs in various localities.
"""Tichuan, Gideona leh a hnena awm mi 100 chuan zan lai, ralveng inthlak hun velah Midian-ho kulh chu an zu thleng a.""","""Then, Gideon and the 100 men with him reached the camp of the Midianites around midnight, at the time of the changing of the guard.""","""Then Gideon and the 100 men who were with him went up to the camp of Midian in the middle of the night, at the turning of the guard."""
Mizo zaimi inzawmkhawm chuan an member Maenga hi hla hmangin an thlah ang.,The Mizo Singers Association will bid farewell to their member Maenga with a song.,The group of Mizo singers will send their member Maenga away with songs.
Hei hi Mizoram mipui tam zawk duh dan niin a lang.,This seems to be the preference of the majority of Mizoram people.,This seems to be the way the majority of the people of Mizoram want it.
Liana chuan Zomuani chu tumah hrilh lo turin a hrilh a.,Liana told Zomuani not to tell anybody.,Liana told Zomuani not to tell anyone.
Zira chu chahbi min vawm turin ka ti.,I asked Zira to throw the keys to me.,I asked Zira to throw a key to me.
Mizoram aá¹­anga CAU-a zir mÃªk zirlaite harsatna tawh chu tihfel a nih thu a hrilh.,He informed that the difficulties faced by students from Mizoram studying at CAU have been resolved.,He told them that the difficulties faced by students studying in CAU from Mizoram have been resolved.
"""Mizo pa tan pawh inphah hniam a, insiamremna neih pui mai chu a awl khawp ang.""","""For a Mizo man, it would be quite easy to humble himself and make adjustments.""","""It will be very easy for Mizo men to be humble, and to have a proper administration."""
Vawiin chu Chhana a hlim vak hmel loh.,Chhana doesn't seem very happy today.,Chhana doesn't seem to be very happy today.
Mizo á¹­awng chuan 'Ramtuk thla' tih a ni.,"""In Mizo language, it is called 'Ramtuk thla'.""","""In Mizo, it is called 'Ramtuk thla'."""
Zama chuan khatiang tih a tum ngai lo tih a sawi.,Zama says he never wanted to do that.,Zama said that he never intended to do that.
Zuala chu Thawhtanni ah Boston atangin a lo kir ang.,Zuala is going to get back from Boston on Monday.,Zuala is going to be back from Boston on Monday.
Toma'n a bialnu tan thilpek a lei.,Tom bought a gift for his girlfriend.,Tom bought a present for his girlfriend.
Zami-i kut a sil laiin a inneih zungbun tui luan kawrah a tla lut.,Zami's wedding ring was swept down the drain while she was washing her hands.,Zami fell into the deep pool of her wedding ring when she washed her hands.
"""Ti tura min tih loh i beisei, tiraw Nunpuia leh Rami te chuan?""","""You hope Nunpuia and Rami don't tell us to do that, don't you?""","""You hope Nunpuia and Rami don't ask me to do that, don't you?"""
Champhai BC tan Ropuia a khel tha fal hle a;,Ropuia played exceptionally well for Champhai BC;,Ropuia played exceptionally well for Champhai BC;
Hruaia chu kum thum mi chauh a la ni.,Hruaia is only three years old.,Hruaia is only three years old.
Hruaia chu hnial hrat tak a ni.,Hruaia is a good debater.,Hruaia is a very open-minded man.
David-a'n dawt sawi fiahna khawl a paltlang.,David passed a polygraph test.,David passed the test of lying.
"""Anand, Gujarat-a inkhelah Sikkim chu thumvawra vannei zawkin vawm hmasak an thlang.""","""In the match at Anand, Gujarat, Sikkim was the luckier one in the toss and chose to bowl first.""","""In the match at Anand, Gujarat, Sikkim won the toss and chose to bowl first."""
Fela banjo perh thiam tak a ni.,Fela is a very good banjo player.,Fela is an expert in playing the banjo.
"""Internet khawvela Twitter i khawih á¹­hin chuan, tun hnaiah #GoHomeIndianMedia tih i hmu ang.""","""If you use Twitter in the internet world, you will see #GoHomeIndianMedia recently.""","""If you use Twitter in the internet world, you will see #GoHomeIndianMedia recently."""
Puia tih a ni tih mi zawng zawng in an hria.,Everybody knows that Puia did it.,Everyone knows that Puia is the one who did that.
Muana chuan puih a duh lo.,Muana wouldn't allow me to help him.,Muana didn't want to help.
Mizorama lehkha chhutna khawl kan hman hmasak hi Museum tlawhtuten an hlut hle.,This first printing press we used in Mizoram is highly valued by museum visitors.,Museum visitors appreciate the early use of printing machines in Mizoram.
Goal a luh belh theih loh reng hnuin Liverpool an che fuh ta nge nge.,"""After goals simply refused to come, Liverpool finally got it right.""","""After no more goals could be scored, Liverpool finally performed well."""
Fela chuan a rit em em a.,Fela felt so heavy.,Fela was very heavy.
